dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
6.25,8,,5.25,N1:2.20,33000102,,5,5.50,
6.25,6.50,,3.75,N1:2.80,33000103,,6.60,4.50,
6.25,7.75,,3.25,N1:3,33000104,,5,4.75,
,,7.50,,N1:4.20,33000105,7.50,8.40,6,4.25
8.75,9,,3.50,N1:9.80,33000106,,7.80,5.50,
,,5,,N1:7.60,33000107,4,9,5.25,8.50
,,7.75,,N1:5.40,33000108,5.25,8.60,6,7.25
,,5.75,,N1:3.60,33000109,4.75,7.20,7,2.75
7,8.50,,5.75,N1:7.40,33000110,,8.60,9,
6,8.25,,4.25,N1:4.60,33000111,,6,6,
7.25,7.25,,4.75,N1:1.80,33000112,,7.20,7.25,
6,6.75,,3,N1:2.60,33000113,,4,4.25,
6.50,8.50,,2.50,N1:7,33000114,,6.20,8.50,
7.50,9.25,,5.75,N3:5.60,33000115,,7.80,7.25,
7.75,9.25,,5.75,N3:5,33000116,,7,8,
8.25,9.75,,8.75,N3:5.40,33000117,,8,8.25,
4.75,7.25,,4.25,N1:2,33000118,,6.40,8.25,
,,6.25,,N1:4.60,33000119,8.25,8.80,6.75,4
,,5.75,,N1:8,33000120,7,9.40,6.75,8.75
6.75,8.50,,6.50,N1:3.80,33000121,,7.20,8,
,,8,,N1:6.40,33000122,5,9,6.75,8.25
6,6,,3.75,N1:1.80,33000123,,3.40,6.50,
5,7.50,,4.75,N1:2.20,33000124,,5.40,6.25,
7.75,7,,6,N1:2.60,33000125,,3.60,6.50,
,,7.25,,N1:4.80,33000126,5.50,8.80,6.25,8.50
5.75,8,,7,N1:2.80,33000127,,4.80,6.25,
6.25,7.25,,4.50,N1:2.40,33000128,,5.60,7.75,
7.25,7.50,,5.50,N1:2.20,33000129,,6.20,7.25,
6,7.50,,3.25,N1:7,33000130,,8.20,8.50,
8.25,8.25,,6,N1:5.80,33000131,,7.80,7,
,,5.75,,N1:6.80,33000132,5.50,8,6.50,7
7.75,9.25,,8.75,N1:2.40,33000133,,7.20,6,
5.25,6.25,,2.50,N1:1.80,33000134,,3.40,5.50,
6.75,7.50,,4.25,N1:4,33000135,,5.40,6.75,
6.75,8.25,,5.25,N1:4,33000136,,7.40,7.25,
,,7.50,,N1:3.20,33000137,5,8.60,6,8
6,7.50,,5,N1:4.20,33000138,,6.40,6.75,
6.50,8,,5,N1:4,33000139,,7.60,7.25,
6.25,8,,6.75,N1:7,33000140,,7.60,6.25,
,,7.25,,N1:3.80,33000141,7.25,9.20,7.25,7.75
7,8,,4,N1:2.60,33000142,,7,6.25,
,,3.50,,N1:6.80,33000143,3.50,8,6.50,4.25
5.50,6.75,,5.50,N1:2,33000144,,7.20,6.50,
