dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
6.50,6,,4.75,N1:5,33001246,,6.40,6.50,
,,7.50,,N1:3.40,33001247,5.25,8.60,6.75,8.25
,,8,,N1:6,33001248,7,9.20,7.25,9.25
,,8.50,,N1:6.60,33001249,5.25,9.20,7,8.25
7.75,7.25,,5.75,N4:3.80,33001250,,6,6.25,
8.25,9.50,,8,N1:2,33001251,,7.80,6.25,
7.50,8.50,,4.75,N1:2.40,33001252,,7,6.75,
7.25,8.75,,6.50,N1:2,33001253,,7.80,6.25,
6.25,6.50,,5.25,N1:3,33001254,,5,4.50,
6.25,8.50,,5.50,N1:3,33001255,,5.40,5.25,
7,8.50,,7,N1:3.80,33001256,,7.60,6.75,
,,8,,N1:6,33001257,5.50,9.60,6.50,8.50
,,7.25,,N1:4,33001258,2.50,8,5.50,7.25
,,7,,N1:7.20,33001259,5.25,9.20,5.25,8.75
7,8.50,,6.25,N1:3.20,33001260,,6.60,4,
9,9.25,,7.50,N1:5.20,33001261,,8.80,6.25,
7.25,7.50,,5,N1:3,33001262,,6.60,6,
,,7.75,,N1:4,33001263,4.50,9.40,6,8
,,8,,N1:5.20,33001264,4,8.20,6,7
8.75,8,,7.25,N1:2.60,33001265,,6.40,6,
8.25,7.75,,8.50,N1:3.80,33001266,,8.40,7.50,
,,8.50,,N1:4.40,33001267,6.50,9.20,6.25,7.50
7.25,9.25,,8.25,N1:3.80,33001268,,7,5.25,
7.25,7.25,,6.75,N1:7.60,33001269,,5.20,5.75,
7.50,7,,7,N1:1.60,33001270,,6,6.25,
,,7.75,,N1:3.20,33001271,6,7.40,5.50,7.25
,,4.25,,N1:5,33001272,4,7.80,4.25,7
7,8,,8.25,N1:4.20,33001273,,6.20,8.25,
,,5.25,,N1:4.20,33001274,4,7.80,5,5.75
5.75,,,4.75,,33001275,,3.60,4.25,
7.25,9,,6.25,N1:4.40,33001276,,8.20,6.75,
,,8,,N1:5,33001277,3.75,9.20,4.25,7.50
,,4.75,,N1:8.40,33001278,5,9.40,9,8.50
8,9,,7,N1:4.20,33001279,,7.80,6,
8,8.75,,5,N1:3.80,33001280,,5,6.50,
,,7.75,,N1:2.20,33001281,4.75,8.40,5,7.25
6.75,7.50,,5.50,N1:3,33001282,,5,6.75,
4.50,7.75,,3.25,N1:1.80,33001283,,5.20,6.25,
,,8.25,,N1:6,33001284,8,8.60,7.75,5.50
,,7.50,,N1:4.40,33001285,4.75,7.60,7,5.75
6,6.75,,4.25,N1:2.60,33001286,,6.40,4.25,
6.25,8,,3.50,N1:2.80,33001287,,6.40,3.50,
6.75,8.50,,6.25,N1:6.40,33001288,,4.40,6.50,
5.50,7.75,,4.75,N1:4.60,33001289,,7,6,
6.75,8.25,,7.25,N1:4,33001290,,6.40,7,
5.75,7,,5.25,N1:4.40,33001291,,4.20,7,
5.50,5.25,,3,N1:2.20,33001292,,4.40,5.50,
5.50,6,,4.25,N1:2,33001293,,4.40,5.75,
6.25,,,6.25,,33001294,,3.40,7.75,
,,9.25,,N1:5.80,33001295,6.25,9.60,7.50,7.50
7.25,8.50,,3.50,N1:4.20,33001296,,7.60,6.50,
7.75,9,,8,N1:8.20,33001297,,8.40,7.75,
,,7.75,,N1:4.80,33001298,5,8.80,6.75,8
8.75,8.75,,9.25,N1:4.80,33001299,,7.60,7.25,
,,7.75,,N1:5,33001300,4.50,8.20,6.75,6.25
5.75,7.25,,5.25,N1:3.60,33001301,,6.20,6.50,
8.25,8.75,,5.50,N1:2.60,33001302,,6.40,6.50,
7.75,8,,8.25,N1:2.80,33001303,,6.40,6.25,
8.75,8.50,,5.50,N1:2.60,33001304,,8,6.75,
8.25,8,,7.25,N1:4,33001305,,6,7.25,
,,9.25,,N1:4.60,33001306,8.75,9.20,7.25,6.50
4,6.25,,2.75,N1:1.80,33001307,,3.20,5.50,
,,8,,N1:4.80,33001308,4.50,8,6.75,6.75
7.75,7.75,,5.75,N1:7.40,33001309,,9,8,
8.50,9,,5.75,N1:3.80,33001310,,8.40,6.75,
,,8,,N1:8.20,33001311,5.75,8.80,5.75,7.75
7,8.50,,6.25,N1:4,33001312,,7.20,5.75,
8.25,8.50,,9.25,N1:6.40,33001313,,5,7,
,,5.25,,N1:6.20,33001314,3.50,8.60,6.25,8
,,6.25,,N1:5.60,33001315,6.50,7.60,5.25,6.25
7,7.75,,4.50,N1:3.20,33001316,,6,6.50,
,,6.75,,N1:3.60,33001317,4,7.80,6.75,7.75
6.50,8.25,,6,N1:3.40,33001318,,5.80,6.75,
,,7.50,,N1:2.80,33001319,3.75,8.40,5.25,7.50
,,7.25,,N1:4.40,33001320,5.75,7.80,7,7
,,6.75,,N1:2.80,33001321,4.75,8.40,6.75,7.50
,,6.50,,N1:4.20,33001322,5.25,8,6.25,4.75
7,7.50,,2.25,N1:5.40,33001323,,7.20,5.50,
,,8.50,,N1:7.60,33001324,5.75,8.60,7.75,4
7.75,7.50,,6.50,N1:5.60,33001325,,7.20,6,
7.25,5.75,,3.50,N1:2.20,33001326,,3.40,4.75,
6.50,,,5,,33001327,,3.40,3,
8.25,9.50,,6.50,N1:2,33001328,,5.80,5,
,,7,,N1:3.40,33001329,3.75,8,5.75,6.75
5.75,,,4.50,,33001330,,3.40,3.50,
9.25,9,,7.25,N1:6.60,33001331,,7.60,8.50,
7,8.50,,6.25,N1:7.20,33001332,,8.40,8.75,
6,7.75,,4.25,N1:3.20,33001333,,7.60,5.75,
,,8.50,,N1:5,33001334,5.25,9.60,7.75,7.50
,,9.50,,N1:4.60,33001335,6,8.80,6.75,8.50
6.50,7.25,,8.75,N1:5.20,33001336,,6.40,6.50,
,,9,,N1:5.60,33001337,6.50,8.80,6.58,7.75
6.75,8,,5.75,N1:5.20,33001338,,8.20,6.33,
,,3.75,,N1:6.20,33001339,3.75,9,5,7.75
7.75,8.50,,8.25,N1:4.60,33001340,,7.60,7,
8.25,7.25,,5.50,N1:2.60,33001341,,4.60,6.50,
,,6.50,,N1:6.80,33001342,5,8.40,5,7.25
8.25,8.75,,5.75,N1:2.60,33001343,,4.20,4.50,
5.25,7.50,,7.25,N1:3.40,33001344,,4.80,5.75,
8.75,9,,7.50,N1:5.80,33001345,,8.40,8.50,
,,6.75,,N1:3,33001346,5.50,7.60,6.25,4
,,5.50,,N1:6.60,33001347,5,8.20,8.50,3.50
,,9.50,,N1:9.60,33001348,5.25,9.20,6.25,6.25
,,7.75,,N1:5.80,33001349,5.75,9,7.50,7.50
,,8.25,,N1:6.60,33001350,6.25,9.40,7,8.75
7,8,,4.50,N1:3.20,33001351,,3.60,6.75,
,,5.75,,N1:4,33001352,5.75,7,7,6.75
5,5.75,,4.50,N1:3.40,33001353,,6.40,5.75,
6,,,3.50,,33001354,,5,5,
6.50,,,3,,33001355,,2.60,4.25,
,,7,,N1:3.20,33001356,4.25,7.40,6.25,7
7.50,8.75,,6.25,N1:3.20,33001357,,7.40,6.75,
7.25,8,,5.25,N1:4.40,33001358,,7.80,7.25,
5.50,7,,4.75,N1:4.60,33001359,,8,6.75,
,,7.75,,N1:3.20,33001360,3.75,8.40,4.50,7.25
6.75,7.75,,5.25,N1:5.40,33001361,,4,7.75,
5.75,9,,5.50,N1:2.80,33001362,,5.60,7.25,
7,7.75,,4,N1:3.40,33001363,,6.60,6.75,
,,7,,N1:4.60,33001364,5.25,8.60,6.75,7
8.50,8.25,,9.25,N1:6,33001365,,6.60,7.75,
7.25,9.25,,3.25,N1:5.60,33001366,,7.40,7.25,
,,9.50,,N1:4.40,33001367,5.25,9.20,7,8.50
7.25,7.75,,5.50,N1:3.60,33001368,,6.20,7.25,
5.75,,,4,,33001369,,2.20,3.50,
7.50,8.25,,7.25,N1:2.80,33001370,,7.40,6.50,
,,8,,N1:3.40,33001371,6,9,7.50,9
,,6.25,,N1:2.20,33001372,4.50,8.20,6,6.25
,,8,,N1:2.80,33001373,3.25,7.40,4.25,5
,,8.25,,N1:3.20,33001374,4.50,8.40,6,7.25
,,8,,N1:3.40,33001375,7,8.80,5,8.50
7.50,8,,4.75,N1:4.60,33001376,,7.80,7.75,
6.50,8,,4.50,N1:4,33001377,,7.80,5.75,
,,8.75,,N1:6.20,33001378,5.50,9.20,7.75,8.50
,,7.25,,N1:3.20,33001379,5.25,8.60,5.67,8
6,8.75,,4.75,N1:7.40,33001380,,6.60,7,
6,7,,4.75,N1:3.80,33001381,,4.20,6.50,
8.25,9.25,,8.75,N1:4.80,33001382,,8.20,7,
,,7,,N1:3.40,33001383,8.25,8,3.25,4.75
,,4,,N1:3.60,33001384,5.25,6.40,6.25,3
7,7,,4.50,N1:3.20,33001385,,7.20,5.75,
,,8,,N1:6,33001386,6.25,9.40,6.75,8.75
,,7.50,,N1:3.20,33001387,2.25,9,6.75,7
8.50,9,,8.25,N1:5.20,33001388,,6.60,6,
6.75,8,,9,N1:9,33001389,,4.40,7.75,
,,4.25,,N1:7.20,33001390,4.75,7.60,7,7.50
7.75,8.50,,6,N1:1.60,33001391,,6.60,6.25,
8.50,9.25,,8.25,N1:6.40,33001392,,8.20,7,
6.75,8.50,,7.25,N1:6.20,33001393,,7.60,8,
7.50,8.75,,8.25,N1:9.40,33001394,,9,8.50,
6.75,9,,4,N1:2.80,33001395,,5.60,5.25,
,,5.75,,N1:5,33001396,6,8.40,5,8
7,7.50,,3,N1:7.80,33001397,,8.20,6.75,
,,9.50,,N1:7.60,33001398,5,8.60,7,8
,,3.75,,N1:4.20,33001399,6,8,6.50,8
6,8,,6.25,N1:3.60,33001400,,6.20,5.50,
9,9,,8.75,N1:8.80,33001401,,8.80,8.50,
8.75,8.25,,7,N1:5.80,33001402,,7.80,7,
7,,,5.75,,33001403,,4.40,5.25,
5,8.50,,5.75,N1:4.80,33001404,,6.20,7.50,
,,8.25,,N1:5,33001405,5.50,8.80,6.75,7.25
,,8,,N1:6.60,33001406,4.75,8.40,7.25,4.25
,,7.75,,N1:3.40,33001407,5,9,6,7.50
7.25,6.50,,5.25,N1:3.60,33001408,,7,6.25,
5.75,7.50,,4,N1:2.20,33001409,,3,4.50,
7,8.25,,4.50,N1:2.60,33001410,,6.20,7.50,
7.75,7.75,,4.50,N1:3.20,33001411,,5.40,6,
4.75,5,,4,N1:3.80,33001412,,5.80,3.25,
8,8,,5,N1:4.80,33001413,,6.60,6.75,
6.25,7.25,,5.25,N1:2.20,33001414,,3,4.25,
,,6.75,,N1:6.80,33001415,5.50,8.40,5.50,7.75
6,7.25,,3.25,N1:4.40,33001416,,7,6.50,
,,6.50,,N1:1.80,33001417,3,8.60,5.75,7.25
6.50,7.25,,3.75,N1:3.40,33001418,,5,5,
,,4,,N1:4,33001419,4,7.60,6.25,7
7.75,8,,8.75,N1:6.80,33001420,,8,8.50,
7.50,9,,8.75,N1:8.60,33001421,,8.40,8.75,
5.75,7.75,,3.25,N1:4.60,33001422,,7.60,3.50,
5.25,,,3.75,,33001423,,3.40,5.75,
,,8.75,,N1:5.80,33001424,5,8.40,5.50,8.25
4.75,6,,3.25,N1:2,33001425,,3.40,5.50,
6.75,8.50,,4.25,N1:6.80,33001426,,8.80,8,
,,5.25,,N1:3.80,33001427,4.25,8.20,5.25,7.25
,,8.25,,N1:3.80,33001428,5.25,8.80,5.75,8.25
5.50,5.50,,4,N1:0.80,33001429,,5.20,6.50,
,,5.50,,N1:6.80,33001430,4.50,8.20,6.25,7.50
,,8,,N1:3.40,33001431,8.25,8.20,7,5
8.50,8,,6.25,N1:7.20,33001432,,6.80,5.75,
,,3.50,,N1:4,33001433,4.75,7.20,5,6.75
6.75,6.50,,4.50,N1:2.40,33001434,,7,6.25,
,,7.75,,N1:5.60,33001435,7.50,8.60,7,6
7.75,6.50,,4.75,N1:2.40,33001436,,4.80,5.75,
,,7.50,,N1:5,33001437,7,8.40,7,6
8,9,,6,N1:4.40,33001438,,4.60,5.75,
,,8,,N1:7.20,33001439,8.25,8.40,6.50,7
,,6.50,,N1:9,33001440,5.75,9,6.25,8
4.50,7.50,,4.25,N1:2.60,33001441,,6,5.75,
7,8.50,,5.25,N1:5,33001442,,6.40,7.50,
4.50,6.50,,3,N1:3.20,33001443,,4.60,4.25,
,,7.50,,N1:2.60,33001444,3,7.20,6.50,7.50
5.25,7,,5,N1:4,33001445,,5.60,6.75,
7,7.25,,5.25,N1:3.20,33001446,,4.60,5.75,
6.75,6.50,,3.25,N1:2.20,33001447,,3.80,4.25,
8.50,8.25,,5.50,N1:4.20,33001448,,6,6.75,
7,8.50,,6,N1:6.20,33001449,,7.60,6.25,
7.75,9.25,,8.50,N1:5.40,33001450,,7.40,7.25,
8,8.75,,9.75,N1:8.60,33001451,,9,8.50,
7.75,8.75,,8.75,N1:9,33001452,,8.60,8.25,
,,8.50,,N1:6.80,33001453,7.50,8.40,6,6.75
5.50,7.50,,4,N1:2.20,33001454,,6.80,6.25,
,,8,,N1:5.60,33001455,5,8,5.50,8
7,8,,6.50,N1:5.60,33001456,,7.60,6.75,
6.75,7.75,,6,N1:5,33001457,,7.80,7.25,
8.25,8,,6,N1:6.60,33001458,,8.80,8.50,
,,7.50,,N1:5.60,33001459,5,8.40,7.25,5
8.50,8,,6.25,N1:4.20,33001460,,5.20,6.25,
6.75,7.75,,5.50,N1:4.60,33001461,,6.40,6.50,
8.25,8.75,,7,N1:8,33001462,,8.20,7.50,
,,5,,N1:7.40,33001463,4.75,9,6.75,7.75
,,5.75,,N1:5.60,33001464,6.25,8.40,6.50,7.25
5.50,,,2.25,,33001465,,5.40,6.50,
,,8.50,,N1:8.20,33001466,7,8.80,6,8.25
,,7.25,,N1:3.60,33001467,5.25,8,5.75,7.75
,,8.75,,N1:6,33001468,4.75,8,6.25,7
6.50,5.75,,3.75,N1:4.60,33001469,,3.80,5.75,
,,7.75,,N1:4.20,33001470,4.75,8,6.50,7
6.50,8.75,,6.75,N1:2.20,33001471,,6.60,6.25,
7.75,8,,6.75,N1:4.80,33001472,,8.60,7,
7.75,8,,6.25,N1:3.20,33001473,,5.80,6.50,
8.25,8,,6.75,N1:4.40,33001474,,8.40,6.50,
,,7.50,,N1:4.40,33001475,5.25,7.40,7.75,6
,,8,,N1:6.20,33001476,6,9.60,6.83,8
,,6.50,,N1:3.20,33001477,3.75,6.60,6,6.25
,,8.25,,N1:6,33001478,6.25,8,6,8.25
6.25,6.75,,4.50,N1:2.40,33001479,,3.80,4.75,
6,7.50,,2.75,N1:1.80,33001480,,3.80,4.25,
7,9,,9.25,N1:5.40,33001481,,7.60,6.25,
,,6.75,,N1:3.80,33001482,7.25,8.60,4.25,3.75
6.50,6.25,,5.75,N1:2.60,33001483,,4.60,6.50,
5.50,5,,5.25,N1:2.60,33001484,,3.60,3.75,
7.25,8,,6.25,N1:3.20,33001485,,4.80,4.25,
7,7.50,,3.25,N1:3.60,33001486,,5.80,6.50,
,,3.25,,N1:3.40,33001487,4.25,8.20,5.75,6
,,5.75,,N1:4.60,33001488,5.25,6.40,7.25,6.75
7.50,8.75,,4.25,N1:2.60,33001489,,5.20,6.75,
,,8.75,,N1:6.60,33001490,6.25,9.60,6.75,8.75
,,4.50,,N1:6.20,33001491,5,8.60,6.25,7
6.25,7.75,,4.75,N1:6,33001492,,7,7,
6,8.75,,4.75,N1:3.20,33001493,,5.80,6.75,
7,8.50,,3.75,N1:4.80,33001494,,8.20,7.50,
9,9.50,,8,N1:8.60,33001495,,8.60,8.75,
6,7.25,,5,N1:4.60,33001496,,4.60,6.08,
,,9,,N1:6.80,33001497,6.75,9.20,4,8.25
,,7.50,,N1:5.60,33001498,4.50,8.80,6,7.75
7.25,7.75,,8.50,N1:1.40,33001499,,7.40,6.08,
8.25,8.50,,4.50,N1:2.80,33001500,,7.20,7.25,
6,7,,4.50,N1:2.40,33001501,,4.20,7.75,
,,7.75,,N1:5.80,33001502,5.75,9.60,6.50,8.25
,,8.25,,N1:3.60,33001503,6,8.80,7,4.75
,,8,,N1:5.40,33001504,6.25,9.20,7,8
8.25,9.25,,8,N1:2.20,33001505,,5.60,7.25,
,,8,,N1:3.40,33001506,4.25,8.40,6.25,5.50
8,9,,6.25,N1:6.60,33001507,,7.20,7.50,
,,7.25,,N1:3.80,33001508,4.50,8.20,6.50,6.50
7.50,8.50,,7,N1:4.80,33001509,,8.40,7.75,
6.75,7.25,,5.25,N1:2,33001510,,6.40,5.75,
6.25,8.75,,5.25,N1:4,33001511,,7.40,5,
5.25,,,2.25,,33001512,,4.80,6.50,
,,7.75,,N1:6.80,33001513,6.25,8.80,5.75,9
6.50,7.75,,5.25,N1:3.80,33001514,,6.20,7,
8,7.50,,7.75,N1:5,33001515,,6.20,8.25,
,,4.75,,N1:4.20,33001516,5.50,6.60,5.75,5.50
,,8.50,,N1:6.20,33001517,8,8.40,7,8
8.50,7.75,,4.75,N1:3,33001518,,7.40,5.75,
5.75,6.75,,3.75,N1:3.40,33001519,,4,5.50,
7.50,8.50,,7.25,N1:3.60,33001520,,7.20,6,
5.50,7.50,,5,N1:6.20,33001521,,7.40,6.25,
,,7.50,,N1:5.80,33001522,5.25,8.80,7.75,7.75
,,6,,N1:3.80,33001523,3.25,7.40,6,7
5.50,7.25,,5.25,N1:5.60,33001524,,6.60,5.25,
,,6.25,,N1:4,33001525,4,7.60,6.50,7
6,6.25,,2.75,N1:3.20,33001526,,3.40,5,
,,8.75,,N1:7,33001527,6.25,8.40,7.25,7.50
,,8,,N1:4.80,33001528,5,9.20,7.42,8.25
,,5,,N1:7.20,33001529,3.75,8.60,7.50,7.75
5.25,,,3.25,,33001530,,2.40,3.50,
7.50,7.75,,4.25,N1:3.20,33001531,,4.80,5.33,
,,8.50,,N1:3.80,33001532,6,9.20,6.50,8
6,8.25,,4.25,N1:3,33001533,,4.60,6,
6.75,7.75,,3.75,N1:3.20,33001534,,7.20,6.75,
8.50,9,,7.75,N1:7,33001535,,8.80,7.75,
4.50,7.25,,4.50,N1:2.60,33001536,,6.40,5,
,,4.75,,N1:3.20,33001537,3,7.40,6,5.75
,,5.50,,N1:2.80,33001538,5,6.40,6.50,4.25
7,7.75,,5.75,N1:4,33001539,,6.40,8,
7.75,9,,4.75,N1:6.40,33001540,,6.40,6,
,,6.75,,N1:5.40,33001541,5.50,8.80,6.25,6.25
8.50,9.25,,7.75,N1:5.80,33001542,,7,6.75,
7,8.25,,5,N1:4,33001543,,7.20,7,
,,8.25,,N1:4,33001544,5,8.80,4.25,8.75
5.75,8.25,,4.50,N1:3.60,33001545,,4.60,7.50,
8.50,8.75,,5.75,N1:5.20,33001546,,8.80,7.25,
7.25,8.50,,3,N1:5,33001547,,7.40,7.50,
7.25,7.75,,5.75,N1:3.60,33001548,,7.40,6.25,
6,7.75,,3.50,N1:4.20,33001549,,7.20,6.75,
,,7.50,,N1:4.80,33001550,6.25,9,5.50,8.50
6.50,7,,5.25,N1:4.40,33001551,,7,6,
6.25,9,,6.50,N1:5.40,33001552,,8.20,7,
7.50,8.75,,7.50,N1:4.80,33001553,,5.20,6.75,
,,6.25,,N1:3.80,33001554,5.25,6.40,6.75,3.50
,,8,,N1:4.80,33001555,5.25,9.20,6.25,8.25
,,6.75,,N1:5,33001556,3.75,7.80,4.50,7.25
,,5.50,,N1:3.80,33001557,4.50,8.40,6.50,5.75
8.25,9.50,,6.75,N1:6,33001558,,8.20,5.25,
,,8,,N1:6.60,33001559,6,9,5.75,9
,,2.25,,N1:8,33001560,4.50,8.60,6,8
8.25,8.50,,6,N1:4,33001561,,4.40,4.50,
6.75,7,,4.75,N1:2.60,33001562,,6.40,5,
8,8.25,,7,N1:4,33001563,,7.20,5.75,
,,5.50,,N1:4.80,33001564,6.25,7.80,7.25,6.75
7,8.25,,4.25,N1:2.80,33001565,,5.60,5.75,
,,8.25,,N1:2,33001566,4.50,7.60,7,8.25
6.75,6.75,,5.75,N1:3.80,33001567,,5.80,6.25,
6,8.75,,4.25,N1:6.20,33001568,,8.20,8.25,
6.75,7,,4.75,N1:2.40,33001569,,5.20,6.50,
5.25,6.75,,4,N1:2.80,33001570,,6.20,6.50,
,,9.50,,N1:8.40,33001571,6.50,8.60,8.25,8
,,7.25,,N1:4.60,33001572,7,8.20,7.25,5.25
8.50,8.75,,7.25,N1:6,33001573,,7.60,7.75,
7.50,7,,5.50,N1:4,33001574,,6.60,5,
,,7.75,,N1:5.80,33001575,7.25,8.20,7.75,8.25
7.75,8,,6.25,N1:3.60,33001576,,6.40,6.50,
,,7.75,,N1:8.40,33001577,5.50,9.20,6,8.25
5,5.25,,4,N1:3.40,33001578,,7.40,7,
,,8,,N1:5.40,33001579,5,8.80,7,7.25
6,6.25,,2.75,N1:2.60,33001580,,2.40,4.50,
7.75,,,5.50,,33001581,,3.80,7.50,
,,7.75,,N1:5.20,33001582,3,8.20,4.75,7.75
,,6.50,,N1:5,33001583,6.25,7.60,5.25,8.75
6.75,7.25,,4.25,N1:2,33001584,,7.20,6.75,
,,8,,N1:3.20,33001585,5,9.40,4.25,7.50
,,6.50,,N1:5.20,33001586,4.75,8.60,6.25,8.50
,,7.50,,N1:3.60,33001587,6.50,8,6.75,6.50
,,7.75,,N1:4.60,33001588,4.50,7,7.25,5.75
5.50,5.50,,3.75,N1:3.80,33001589,,5.40,5.25,
,,7.25,,N1:4.80,33001590,4,8.20,5.25,6.75
,,8.50,,N1:6.20,33001591,5.50,9.20,3,8
7.50,8.25,,4.25,N1:2.80,33001592,,3.80,6.50,
7,8.25,,6.75,N1:3.20,33001593,,5,6,
6.25,8,,6.50,N1:6.80,33001594,,5.60,7.25,
6.25,8.25,,4.50,N1:3.20,33001595,,6,4,
,,8.75,,N1:5.20,33001596,8.75,7.40,5,2.50
,,8.75,,N1:6.60,33001597,7,9.40,4.50,8.25
,,8.50,,N1:3.60,33001598,6,8.40,5.25,5.75
7.25,9.25,,6.25,N1:4,33001599,,6.20,6.75,
5.25,7.50,,4.75,N1:2.60,33001600,,5.40,4.75,
,,4.50,,N1:4.80,33001601,4,7,7.25,6
6,6.50,,3.75,N1:3.20,33001602,,5.80,4.75,
,,5.75,,N1:8.20,33001603,5.25,8.80,6.75,8
7.50,8.75,,6.75,N1:3,33001604,,8,6.50,
5.25,8.75,,6,N1:2.80,33001605,,6.60,5,
,,8.75,,N1:3.40,33001606,5,8.60,6.75,7.25
,,5.25,,N1:2.40,33001607,2.75,6.80,6.75,6.75
,,7.75,,N1:7.40,33001608,6.75,8.60,4.75,8.25
5.75,8.50,,6,N1:5,33001609,,5,7.75,
7.50,8.75,,8.50,N1:9.40,33001610,,9,8.75,
6.25,7.50,,6,N1:2.60,33001611,,6,4.25,
6.25,7.50,,4,N1:3,33001612,,5.20,6.50,
8.75,9.50,,7.75,N1:4.20,33001613,,6.80,6.75,
,,9.50,,N1:5.80,33001614,8.50,8.60,8.25,6.75
7.50,8,,5.75,N1:4.80,33001615,,7.80,8,
4.75,6.25,,2.50,N1:1,33001616,,5.40,6,
6,8.50,,3.50,N1:3.80,33001617,,3.80,4.75,
7.25,7.75,,5.75,N1:4.80,33001618,,7,6,
6,6.75,,4,N1:3.40,33001619,,6,6.25,
7.50,8,,5.25,N1:3.80,33001620,,7.20,5.75,
6.75,8,,6,N1:5.20,33001621,,7.40,7.50,
6.50,8.50,,4.50,N1:7.60,33001622,,7.80,7.75,
7,7.25,,6,N1:2.20,33001623,,7.20,6,
7.75,9.25,,6.50,N1:4.40,33001624,,6.40,6,
,,7.75,,N1:9,33001625,6.75,9.20,6,8
,,7.75,,N1:5.60,33001626,5.50,8.80,5.50,8
4.75,7,,4,N1:2.60,33001627,,4.80,6.50,
,,8.25,,N1:6.20,33001628,3.75,9,6.25,9
6.25,6.50,,4.75,N1:3.80,33001629,,5.80,4.25,
6.25,8,,7.75,N1:8,33001630,,8.60,7,
,,6,,N1:5.60,33001631,3.50,7.60,6.75,5.25
,,8.25,,N1:3.60,33001632,7,9,7.50,5
7.50,8.50,,6.75,N1:4.20,33001633,,7.20,7,
6.75,7.75,,6.75,N1:2.60,33001634,,5.80,6,
7.50,7.75,,2.75,N1:2.80,33001635,,7.20,7.25,
,,8.25,,N1:5.80,33001636,6,9.60,7.25,8.75
,,6,,N1:4.40,33001637,4.50,7,6.75,7.75
7,7.25,,3.25,N1:3.40,33001638,,7,6.50,
6.25,5.75,,6.25,N1:4.20,33001639,,7.40,8,
8.50,8.75,,5.50,N1:2.60,33001640,,2.80,6.50,
6.25,8.25,,4.25,N1:4.20,33001641,,4.80,7.25,
,,6.75,,N1:4.20,33001642,4.50,8.80,6.25,6.50
5.75,6.50,,3.75,N1:2.20,33001643,,5,5.75,
6.75,8.25,,5.25,N1:2.20,33001644,,5,6.50,
4.75,8.25,,5.75,N1:7.80,33001645,,9,7.75,
7.25,8.75,,3.25,N1:5,33001646,,7.40,6.75,
7.25,8.25,,4,N1:4.20,33001647,,7,6.25,
7.25,8.50,,6,N1:4.40,33001648,,7.40,8.50,
,,4.75,,N1:6.60,33001649,5,9,6.50,8
5.25,7,,4.25,N1:2.40,33001650,,5,6.50,
,,8.25,,N1:3.60,33001651,5,8.80,6.50,9
,,7.25,,N1:4.20,33001652,5.25,9,6.75,7.50
,,7.25,,N1:3.20,33001653,4.50,8,6.75,7.25
4.25,6.75,,4,N1:3.60,33001654,,6.40,8,
7,8.50,,5.25,N1:7,33001655,,7.40,7,
7,7.75,,5.50,N1:2.40,33001656,,7.60,5.50,
6,7.50,,4.75,N1:2.20,33001657,,4.80,5,
6.25,6.25,,6.50,N1:2.40,33001658,,5.60,4.75,
5.75,6.75,,3.50,N1:2,33001659,,4.40,5.50,
7.75,8.75,,7.75,N1:2.40,33001660,,5.60,7.25,
7.25,9,,7.50,N1:6.40,33001661,,7.60,7.25,
6.50,7.75,,6.50,N1:1,33001662,,6,7.25,
,,8.25,,N1:6.40,33001663,6,8.40,7.25,8.25
,,7,,N1:4.20,33001664,4.75,8.20,6.75,6.75
,,5.75,,N1:3.40,33001665,6.25,7,6.25,5
6.50,8,,4.50,N1:3.80,33001666,,8.40,7.25,
,,8.50,,N1:5,33001667,7.75,8,8.25,8.50
6.25,7.50,,5.50,N1:3.80,33001668,,7.60,7.75,
7.75,8.75,,6.25,N1:4.40,33001669,,7,8,
,,8.75,,N1:2.20,33001670,6.50,8.40,7,8
7.75,8.25,,5,N1:3.40,33001671,,7.40,6.25,
6.75,8.75,,4.75,N1:2.20,33001672,,3.80,6.25,
7.25,9.50,,7.25,N1:5.40,33001673,,7,7.25,
6.75,7,,3.75,N1:2.60,33001674,,5.40,5.25,
6.25,8.75,,5.25,N1:3,33001675,,7.40,5.75,
6,6.50,,3.75,N1:4.20,33001676,,4.20,6.50,
,,8.25,,N1:3.40,33001677,6.75,7.80,8.25,8
,,7.50,,N1:7,33001678,6.25,8.80,8.50,8.50
5.75,8.75,,4.25,N1:2,33001679,,6,7.75,
,,4.50,,N1:2,33001680,5.75,8.20,7.75,6.75
,,7.75,,N1:4,33001681,6.25,7.80,7.50,3.50
,,7.25,,N1:3.40,33001682,5.75,7.40,6,7.25
,,7.25,,N1:3.20,33001683,7,7.60,6,5.25
6,9,,4.50,N1:2.60,33001684,,6.20,5,
,,7,,N1:3.60,33001685,5.75,7.80,6.75,6.75
7,8.75,,5.25,N1:2.20,33001686,,6.80,8,
,,7.75,,N1:3.40,33001687,5.50,7.40,7.25,5.50
5.75,6.50,,3.50,N1:2.20,33001688,,6,5.50,
8,7.50,,4,N1:1.80,33001689,,5.80,6.25,
8.25,9.50,,7.75,N1:2.40,33001690,,5.80,8.50,
7,8.25,,3.25,N1:2.20,33001691,,7.20,6,
6.50,8.25,,5.25,N1:3.60,33001692,,7,6,
7,8.75,,7.50,N1:3.40,33001693,,6.20,5.50,
,,8.50,,N1:2.60,33001694,4.25,8.40,6,8.50
