authors,cover_type,currency,link_book,link_img,price,title
Lê Xuân Mai,Bìa mềm,VND,https://tiki.vn/co-hoc-dat-p26695603.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/2d/ea/e7/5e431fe002b95529f4a66f31ea9457f6.jpg,96900.0,Cơ Học Đất
Bộ Xây dựng,Bìa mềm,VND,https://tiki.vn/tcvn-9386-2012-thiet-ke-cong-trinh-chiu-dong-dat-phan-1-quy-dinh-chung-tac-dong-dong-dat-va-quy-dinh-doi-voi-ket-cau-nha-phan-2-nen-mong-tuong-chan-va-cac-van-de-dia-ky-thuat-p28638699.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/59/17/92/287c063279ad1cefce0ac56714a26756.jpg,162000.0,"TCVN 9386:2012 Thiết Kế Công Trình Chịu Động Đất : Phần 1: Quy Định Chung, Tác Động Động Đất Và Quy Định Đối Với Kết Cấu Nhà - Phần 2: Nền Móng, Tường Chắn Và Các Vấn Đề Địa Kỹ Thuật"
TS. Trần Khánh Toàn,Bìa mềm,VND,https://tiki.vn/ung-dung-ky-thuat-toi-uu-hoa-trong-mo-phong-hang-hai-sach-chuyen-khao-p32071849.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/82/b4/c5/4e320030b8ba31082ed66237aaf408f4.jpg,96000.0,Ứng Dụng Kỹ Thuật Tối Ưu Hóa Trong Mô Phỏng Hàng Hải (Sách Chuyên Khảo)
George Ohsawa,Bìa mềm,VND,https://tiki.vn/nhung-hieu-qua-ro-rang-cua-phuong-phap-ohsawa-tai-ban-p559207.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img119_7.u547.d20161121.t111719.301304.jpg,38000.0,Những Hiệu Quả Rõ Ràng Của Phương Pháp Ohsawa (Tái Bản)
Tăng Văn Mùi - Trần Duy Nam,Bìa mềm,VND,https://tiki.vn/thiet-ke-xay-dung-mach-dien-quanh-ta-quyen-2-p576066.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img084.u547.d20170221.t171203.464654.jpg,45000.0,Thiết Kế Xây Dựng Mạch Điện Quanh Ta (Quyển 2)
Lưu Văn Nguyên,Bìa mềm,VND,https://tiki.vn/tu-tru-menh-ly-chinh-nguyen-p686545.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/t/u/tu-tru.u4939.d20170613.t101525.817066.jpg,61599.0,Tứ Trụ Mệnh Lý Chính Nguyên
Lưu Bá Thuận,Bìa mềm,VND,https://tiki.vn/giao-trinh-may-xay-dung-p23182047.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/53/f7/6f/2b5c7b1533565aa9ccf0a0871b24c0b6.jpg,70550.0,Giáo Trình Máy Xây Dựng
Bìa cứng,,VND,https://tiki.vn/500-du-kien-khoa-hoc-ve-the-gioi-tuyet-chung-p479291.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img227.u335.d20160630.t111330.jpg,146250.0,500 Dữ Kiện Khoa Học Về Thế Giới Tuyệt Chủng
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/giao-trinh-che-tao-thiet-bi-co-khi-tap-1-p23549220.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/35/d2/d4/becf2ebcf94185d59197bdaebd08839b.jpg,114750.0,Giáo Trình Chế Tạo Thiết Bị Cơ Khí - Tập 1
Thanh Huyền,,VND,https://tiki.vn/ban-cua-nha-nong-ky-thuat-trong-va-cham-soc-chuoi-p24165991.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/2f/c5/11/1d9825de2980042f0d1532096ba781a2.jpg,12350.0,Bạn Của Nhà Nông - Kỹ Thuật Trồng Và Chăm Sóc Chuối
Nguyễn Văn Phước,Bìa mềm,VND,https://tiki.vn/giao-trinh-quan-ly-chat-luong-moi-truong-p23179014.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/20/f5/8f/6204b47372ab478328257df73525f61f.jpg,108000.0,Giáo Trình Quản Lý Chất Lượng Môi Trường
Anh Tuấn - Công Sơn,Bìa mềm,VND,https://tiki.vn/cac-de-thi-tuyen-sinh-vao-cac-truong-my-thuat-kien-truc-p517465.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img920.u2469.d20160624.t110808.jpg,21000.0,Các Đề Thi Tuyển Sinh Vào Các Trường Mỹ Thuật & Kiến Trúc
Hs. Gia Bảo,Bìa mềm,VND,https://tiki.vn/my-thuat-can-ban-va-nang-cao-ve-ngua-p516746.html?src=category-page-8322.316.879&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img056.u2487.d20160623.t092841.jpg,14000.0,Mỹ Thuật Căn Bản Và Nâng Cao - Vẽ Ngựa
