authors,cover_type,currency,link_book,link_img,price,title
TS Lê Ngọc Bich,Bìa mềm,VND,https://tiki.vn/dieu-khien-lap-trinh-va-tao-giao-dien-hmi-voi-wincc-flexible-p1510815.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/5b/b8/8d/f3c987b0baf5151fb5604e01088e3659.jpg,31200.0,Điều Khiển Lập Trình Và Tạo Giao Diện HMI Với WINCC FLEXIBLE
Bìa mềm,,VND,https://tiki.vn/toan-roi-rac-ung-dung-trong-tin-hoc-p58253788.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/08/67/32/1136015c9e57aaf1686e3f9760777743.jpg,95980.0,Toán Rời Rạc Ứng Dụng Trong Tin Học
PGS.TS.Lê Anh Dũng,Bìa mềm,VND,https://tiki.vn/giao-trinh-to-chuc-thi-cong-xay-dung-p21408939.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/8c/af/ff/6e475ec3b05d1cd7d2531d3ab352217e.jpg,91800.0,Giáo Trình Tổ Chức Thi Công Xây Dựng
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/kinh-te-luong-p402549.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/k/i/kinh-te-luong.jpg,106250.0,Kinh Tế Lượng
TS. Bùi Hữu Phước (Chủ biên),Bìa mềm,VND,https://tiki.vn/he-thong-bai-tap-va-bai-giai-tai-chinh-doanh-nghiep-tai-ban-lan-1-p532217.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img182.u2469.d20160801.t102921.jpg,53550.0,Hệ Thống Bài Tập Và Bài Giải Tài Chính Doanh Nghiệp (Tái Bản Lần 1)
Bìa mềm,,VND,https://tiki.vn/toan-cao-cap-c2-va-mot-so-ung-dung-trong-kinh-doanh-p402459.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/t/o/toan-cao-cap-c2.jpg,31000.0,Toán Cao Cấp C2 Và Một Số Ứng Dụng Trong Kinh Doanh
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/quan-tri-chien-luoc-p402523.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/q/u/quan-tri-chien-luoc_1.jpg,69700.0,Quản Trị Chiến Lược
Nhiều Tác Giả,Bìa mềm,VND,https://tiki.vn/ke-toan-quan-tri-bai-tap-va-bai-giai-tai-ban-2010-p402135.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/k/e/ke-toan-quan-tri-bai-tap-bai-giai.jpg,64600.0,Kế Toán Quản Trị - Bài Tập Và Bài Giải (Tái Bản 2010)
Vũ Cao Đàm,Bìa mềm,VND,https://tiki.vn/giao-trinh-phuong-phap-luan-nghien-cuu-khoa-hoc-p58260321.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/ts/product/da/20/c9/a204a285c3a65dcb1a241765c4474742.jpg,45980.0,Giáo Trình Phương Pháp Luận Nghiên Cứu Khoa Học
PGS.TS. Nguyễn Đăng Dờn (Chủ biên),Bìa mềm,VND,https://tiki.vn/he-thong-bai-tap-bai-giai-va-dang-de-thi-nghiep-vu-ngan-hang-thuong-mai-p531243.html?src=category-page-8322.316.2321.6991&2hi=0,https://salt.tikicdn.com/cache/w390/media/catalog/product/i/m/img157.u2469.d20160728.t101011.jpg,37000.0,"Hệ Thống Bài Tập, Bài Giải Và Dạng Đề Thi Nghiệp Vụ Ngân Hàng Thương Mại"
